Location,PostOffice,State,Postcode
Bahagian Perubatan Tradisional & Komplementari,Kuala Lumpur,Wilayah Persekutuan,50590
Bahagian Pinjaman Perumahan Perbendaharaan Malaysia,Kuala Lumpur,Wilayah Persekutuan,50592
Bahagian Promosi Kesihatan Kementerian Kesihatan Malaysia,Kuala Lumpur,Wilayah Persekutuan,50590
"Bahagian Teknologi Maklumat, Ibu Pejabat Jabatan Pengangkutan Jalan",Kuala Lumpur,Wilayah Persekutuan,50620
Bahagian Teknologi Pendidikan,Kuala Lumpur,Wilayah Persekutuan,50604
Balai Islam,Kuala Lumpur,Wilayah Persekutuan,50400
Balai Seni Lukis Negara,Kuala Lumpur,Wilayah Persekutuan,50050
Bandar Baru Sentul,Kuala Lumpur,Wilayah Persekutuan,51000
Bandar Baru Sri Damansara,Kuala Lumpur,Wilayah Persekutuan,52200
Bandar Baru Sri Petaling,Kuala Lumpur,Wilayah Persekutuan,57000
Bandar Baru Wangsa Maju,Kuala Lumpur,Wilayah Persekutuan,53300
Bandar Bukit Jalil,Kuala Lumpur,Wilayah Persekutuan,57000
Bandar Damai Perdana,Kuala Lumpur,Wilayah Persekutuan,56000
Bandar Manjalara,Kuala Lumpur,Wilayah Persekutuan,52200
Bandar Mid - Valley,Kuala Lumpur,Wilayah Persekutuan,59200
Bandar Sentul Utama,Kuala Lumpur,Wilayah Persekutuan,51000
Bandar Sri Damansara,Kuala Lumpur,Wilayah Persekutuan,52200
Bandar Sri Permaisuri,Kuala Lumpur,Wilayah Persekutuan,56000
Bandar Tasik Permaisuri,Kuala Lumpur,Wilayah Persekutuan,56000
Bandar Tasik Selatan,Kuala Lumpur,Wilayah Persekutuan,57000
Bandar Tun Razak,Kuala Lumpur,Wilayah Persekutuan,56000
Bandar Wawasan,Kuala Lumpur,Wilayah Persekutuan,50300
Bangsar Aman,Kuala Lumpur,Wilayah Persekutuan,59000
Bangsar Baru,Kuala Lumpur,Wilayah Persekutuan,59100
Bangsar Park,Kuala Lumpur,Wilayah Persekutuan,59000
Bangsar South,Kuala Lumpur,Wilayah Persekutuan,59200
Bangsar South City,Kuala Lumpur,Wilayah Persekutuan,59200
Bangsar Utama,Kuala Lumpur,Wilayah Persekutuan,59000
Bangunan Angkasa Raya,Kuala Lumpur,Wilayah Persekutuan,50450
Bangunan Bangkok Bank,Kuala Lumpur,Wilayah Persekutuan,50000
Bangunan Bank Industri,Kuala Lumpur,Wilayah Persekutuan,50250
Bangunan Bank Negara,Kuala Lumpur,Wilayah Persekutuan,50480
Bangunan Bank Of Tokyo,Kuala Lumpur,Wilayah Persekutuan,50100
Bangunan Bank Pembangunan,Kuala Lumpur,Wilayah Persekutuan,50250
Bangunan Bank Pertanian,Kuala Lumpur,Wilayah Persekutuan,50050
Bangunan Bank Rakyat,Kuala Lumpur,Wilayah Persekutuan,50480
Bangunan British Council,Kuala Lumpur,Wilayah Persekutuan,50480
Bangunan Cahaya Suria,Kuala Lumpur,Wilayah Persekutuan,50050
Bangunan City Square,Kuala Lumpur,Wilayah Persekutuan,50400
Bangunan Dato Zainal,Kuala Lumpur,Wilayah Persekutuan,50100
Bangunan DBKL,Kuala Lumpur,Wilayah Persekutuan,50350
Bangunan Exchange Square,Kuala Lumpur,Wilayah Persekutuan,50490
Bangunan Getah Asli,Kuala Lumpur,Wilayah Persekutuan,50450
Bangunan Kenanga International,Kuala Lumpur,Wilayah Persekutuan,50250
Bangunan Kuwasa,Kuala Lumpur,Wilayah Persekutuan,50350
Bangunan Lee Yan Lian,Kuala Lumpur,Wilayah Persekutuan,50050
Bangunan LPPKN,Kuala Lumpur,Wilayah Persekutuan,50350
Bangunan LTAT,Kuala Lumpur,Wilayah Persekutuan,55100
Bangunan Mara,Kuala Lumpur,Wilayah Persekutuan,50100
Bangunan Mas,Kuala Lumpur,Wilayah Persekutuan,50250
Bangunan MIDF,Kuala Lumpur,Wilayah Persekutuan,50400
Bangunan Perangsang Segemal,Kuala Lumpur,Wilayah Persekutuan,50460
Bangunan Perkim,Kuala Lumpur,Wilayah Persekutuan,51200
Bangunan PNB,Kuala Lumpur,Wilayah Persekutuan,50400
Bangunan Risda,Kuala Lumpur,Wilayah Persekutuan,50450
Bangunan Strait Trading,Kuala Lumpur,Wilayah Persekutuan,50050
Bangunan Tabung Haji,Kuala Lumpur,Wilayah Persekutuan,50400
Bangunan Yayasan Selangor,Kuala Lumpur,Wilayah Persekutuan,55100
Batu Housing,Kuala Lumpur,Wilayah Persekutuan,51200
Batu Kong,Kuala Lumpur,Wilayah Persekutuan,57100
Batu Settlement,Kuala Lumpur,Wilayah Persekutuan,51100
Bedford Bussiness Park,Kuala Lumpur,Wilayah Persekutuan,58000
Binjai On The Park,Kuala Lumpur,Wilayah Persekutuan,50088
Birch Road (Jinjang),Kuala Lumpur,Wilayah Persekutuan,52000
Biro Bantuan Guaman Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50504
Biro Pengaduan Awam Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50505
Blue Boy Mansion,Kuala Lumpur,Wilayah Persekutuan,50200
"BRDB Towe, Jalan Maarof",Kuala Lumpur,Wilayah Persekutuan,59000
Brickfields,Kuala Lumpur,Wilayah Persekutuan,50470
Bukit Bandaraya,Kuala Lumpur,Wilayah Persekutuan,59100
Bukit Bangsar,Kuala Lumpur,Wilayah Persekutuan,59000
Bukit Bintang,Kuala Lumpur,Wilayah Persekutuan,50200
Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,50490
Bukit Indah,Kuala Lumpur,Wilayah Persekutuan,58200
Bukit Jalil,Kuala Lumpur,Wilayah Persekutuan,57000
Bukit Jalil Golf And Country Resort,Kuala Lumpur,Wilayah Persekutuan,57000
Bukit Jalil Intergrated Park,Kuala Lumpur,Wilayah Persekutuan,57000
Bukit Kerinchi,Kuala Lumpur,Wilayah Persekutuan,59200
Bukit Kiara,Kuala Lumpur,Wilayah Persekutuan,60000
Bukit Kiara Equestrian,Kuala Lumpur,Wilayah Persekutuan,60000
Bukit Kiara Estate,Kuala Lumpur,Wilayah Persekutuan,60000
Bukit Kiara Residences,Kuala Lumpur,Wilayah Persekutuan,50480
Bukit Lanjan,Kuala Lumpur,Wilayah Persekutuan,60000
Bukit Ledang,Kuala Lumpur,Wilayah Persekutuan,50480
Bukit Lela,Kuala Lumpur,Wilayah Persekutuan,53100
Bukit Mandarina,Kuala Lumpur,Wilayah Persekutuan,56000
Bukit Oug,Kuala Lumpur,Wilayah Persekutuan,58200
Bukit Pandan Bistari,Kuala Lumpur,Wilayah Persekutuan,56100
Bukit Pantai,Kuala Lumpur,Wilayah Persekutuan,59100
Bukit Persekutuan (Kenny Hill),Kuala Lumpur,Wilayah Persekutuan,50480
Bukit Petaling,Kuala Lumpur,Wilayah Persekutuan,50460
Bukit Pisang,Kuala Lumpur,Wilayah Persekutuan,58100
Bukit Prima Pelangi,Kuala Lumpur,Wilayah Persekutuan,51200
Bukit Putra,Kuala Lumpur,Wilayah Persekutuan,59200
Bukit Raja,Kuala Lumpur,Wilayah Persekutuan,58000
Bukit Segambut,Kuala Lumpur,Wilayah Persekutuan,51200
Bukit Sentul,Kuala Lumpur,Wilayah Persekutuan,51200
Bukit Seri Bintang,Kuala Lumpur,Wilayah Persekutuan,51200
Bukit Tiara,Kuala Lumpur,Wilayah Persekutuan,56000
Bukit Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Bulatan Kampung Pandan,Kuala Lumpur,Wilayah Persekutuan,55100
Cangkat Bukit Bintang,Kuala Lumpur,Wilayah Persekutuan,50200
Cangkat Damansara,Kuala Lumpur,Wilayah Persekutuan,50480
Cangkat Duta,Kuala Lumpur,Wilayah Persekutuan,50480
Cangkat Keramat Hujung,Kuala Lumpur,Wilayah Persekutuan,54000
Cangkat Kia Peng,Kuala Lumpur,Wilayah Persekutuan,50450
Cangkat Perak,Kuala Lumpur,Wilayah Persekutuan,50250
Cangkat Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50480
Cangkat Raja Chulan,Kuala Lumpur,Wilayah Persekutuan,50200
Cangkat Riong,Kuala Lumpur,Wilayah Persekutuan,59100
Cangkat Thambi Dollah,Kuala Lumpur,Wilayah Persekutuan,55100
Cangkat Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Capital Square,Kuala Lumpur,Wilayah Persekutuan,50100
Carcosa Seri Negara,Kuala Lumpur,Wilayah Persekutuan,50480
Cawangan Kejuruteraan Jalan & Geoteknik,Kuala Lumpur,Wilayah Persekutuan,50582
Central Square,Kuala Lumpur,Wilayah Persekutuan,50050
Centre Road,Kuala Lumpur,Wilayah Persekutuan,52000
Cerunan Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Chan Sow Lin,Kuala Lumpur,Wilayah Persekutuan,55200
Changkat Kiara Bayu,Kuala Lumpur,Wilayah Persekutuan,50480
Changkat Kiara Rimbun,Kuala Lumpur,Wilayah Persekutuan,50480
Changkat Kiara Surya,Kuala Lumpur,Wilayah Persekutuan,50480
Cheras Business Centre,Kuala Lumpur,Wilayah Persekutuan,56100
Cheras Heights,Kuala Lumpur,Wilayah Persekutuan,56100
Cheras Road (Jinjang),Kuala Lumpur,Wilayah Persekutuan,52000
Club Road,Kuala Lumpur,Wilayah Persekutuan,52000
Commerce Square,Kuala Lumpur,Wilayah Persekutuan,50490
Community Road,Kuala Lumpur,Wilayah Persekutuan,52000
Country Heights Damansara,Kuala Lumpur,Wilayah Persekutuan,60000
Cross Street (Jinjang),Kuala Lumpur,Wilayah Persekutuan,52100
Cross Street (Sungai Besi),Kuala Lumpur,Wilayah Persekutuan,57000
DaLaman Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Damai Niaga,Kuala Lumpur,Wilayah Persekutuan,56000
Damansara Indah Heights,Kuala Lumpur,Wilayah Persekutuan,50490
Damansara Heights,Kuala Lumpur,Wilayah Persekutuan,50490
Danau Kota,Kuala Lumpur,Wilayah Persekutuan,53300
Danau Villa,Kuala Lumpur,Wilayah Persekutuan,58100
Dataran Mestika,Kuala Lumpur,Wilayah Persekutuan,56100
Dataran Niaga Sungai Besi,Kuala Lumpur,Wilayah Persekutuan,57100
Dataran Pandan Prima,Kuala Lumpur,Wilayah Persekutuan,55100
Dataran Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Dataran Wangsa Melawati,Kuala Lumpur,Wilayah Persekutuan,53300
Desa Aman Puri,Kuala Lumpur,Wilayah Persekutuan,52100
Desa Andaman,Kuala Lumpur,Wilayah Persekutuan,53300
Desa Angkasaraya PUKL,Kuala Lumpur,Wilayah Persekutuan,50460
Desa Business Park,Kuala Lumpur,Wilayah Persekutuan,58100
Desa Jaya,Kuala Lumpur,Wilayah Persekutuan,52100
Desa Kuda Lari,Kuala Lumpur,Wilayah Persekutuan,50450
Desa Melawati,Kuala Lumpur,Wilayah Persekutuan,53100
Desa Pahlawan,Kuala Lumpur,Wilayah Persekutuan,55000
Desa Pandan,Kuala Lumpur,Wilayah Persekutuan,55100
Desa Parkcity,Kuala Lumpur,Wilayah Persekutuan,52200
Desa Petaling,Kuala Lumpur,Wilayah Persekutuan,57100
Desa Residence,Kuala Lumpur,Wilayah Persekutuan,58100
Desa Setapak,Kuala Lumpur,Wilayah Persekutuan,53300
Desa Sri Hartamas,Kuala Lumpur,Wilayah Persekutuan,50480
Desa Tasik,Kuala Lumpur,Wilayah Persekutuan,57000
Desa Tun Hussein Onn,Kuala Lumpur,Wilayah Persekutuan,54200
Desa Tun Razak,Kuala Lumpur,Wilayah Persekutuan,56000
Duta Kensington,Kuala Lumpur,Wilayah Persekutuan,50480
Duta Nusantara,Kuala Lumpur,Wilayah Persekutuan,50480
Duta Tropika,Kuala Lumpur,Wilayah Persekutuan,50480
East Fence Road,Kuala Lumpur,Wilayah Persekutuan,52000
East Road,Kuala Lumpur,Wilayah Persekutuan,52000
East Road (1 - 18),Kuala Lumpur,Wilayah Persekutuan,52000
Ehsan Industrial Park,Kuala Lumpur,Wilayah Persekutuan,52100
Endah Puri,Kuala Lumpur,Wilayah Persekutuan,57000
Fairview Mansion,Kuala Lumpur,Wilayah Persekutuan,58100
Flora Impian,Kuala Lumpur,Wilayah Persekutuan,51200
Fraser Business Park,Kuala Lumpur,Wilayah Persekutuan,55100
Frim Kepong,Kuala Lumpur,Wilayah Persekutuan,52109
Garden Street,Kuala Lumpur,Wilayah Persekutuan,52000
Gerbang Ampang Hilir,Kuala Lumpur,Wilayah Persekutuan,55000
Gombak - Beg berkunci,Kuala Lumpur,Wilayah Persekutuan,53990
Gombak - Peti surat (161 - 240),Kuala Lumpur,Wilayah Persekutuan,53700
Gombak - Peti surat (241 & ke atas),Kuala Lumpur,Wilayah Persekutuan,53800
Gombak (Batu 5 - 13),Kuala Lumpur,Wilayah Persekutuan,53100
Gombak Setia,Kuala Lumpur,Wilayah Persekutuan,53100
Gonggang Estate,Kuala Lumpur,Wilayah Persekutuan,53300
Gourlay Crescent,Kuala Lumpur,Wilayah Persekutuan,55200
Graham Rise,Kuala Lumpur,Wilayah Persekutuan,54100
Halamanda,Kuala Lumpur,Wilayah Persekutuan,53100
Hartamas Heights,Kuala Lumpur,Wilayah Persekutuan,50480
Hawthornden Estate,Kuala Lumpur,Wilayah Persekutuan,53300
Hentian Pudu Raya,Kuala Lumpur,Wilayah Persekutuan,55100
High Street,Kuala Lumpur,Wilayah Persekutuan,52000
Hock Ann Estate,Kuala Lumpur,Wilayah Persekutuan,58100
Hospital Gleneagles,Kuala Lumpur,Wilayah Persekutuan,50450
Hospital Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50586
Hospital Sentosa,Kuala Lumpur,Wilayah Persekutuan,50400
Hospital Universiti,Kuala Lumpur,Wilayah Persekutuan,59100
"Hotel Summer View, KL",Kuala Lumpur,Wilayah Persekutuan,50470
Hwa Li Housing,Kuala Lumpur,Wilayah Persekutuan,56100
Ibu Pejabat Polis Dang Wangi Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50560
Idamansara,Kuala Lumpur,Wilayah Persekutuan,50490
Institut Diplomasi & Hubungan Luar Negeri,Kuala Lumpur,Wilayah Persekutuan,59100
Institut Jantung Negara,Kuala Lumpur,Wilayah Persekutuan,50400
Institut Kefahaman Islam (IKIM),Kuala Lumpur,Wilayah Persekutuan,50480
Institut Kemahiran Mara,Kuala Lumpur,Wilayah Persekutuan,55100
Institut Kesihatan Umum,Kuala Lumpur,Wilayah Persekutuan,50590
Institut Penyelidikan Perubatan (IMR),Kuala Lumpur,Wilayah Persekutuan,50588
Institut Perubatan Respiratori Hospital Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50590
Institut Tadbiran Awam Negara (INTAN),Kuala Lumpur,Wilayah Persekutuan,50507
Istana Budaya,Kuala Lumpur,Wilayah Persekutuan,50694
Istana Negara,Kuala Lumpur,Wilayah Persekutuan,50500
Istana Pahang,Kuala Lumpur,Wilayah Persekutuan,50200
Jabatan Agama Islam Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50676
Jabatan Bomba & Penyelamat,Kuala Lumpur,Wilayah Persekutuan,50648
Jabatan Galian,Kuala Lumpur,Wilayah Persekutuan,50656
Jabatan Hal Ehwal Orang Asli,Kuala Lumpur,Wilayah Persekutuan,50548
Jabatan Hal Ehwal Orang Asli Gombak,Kuala Lumpur,Wilayah Persekutuan,53100
Jabatan Imigresen,Kuala Lumpur,Wilayah Persekutuan,50550
Jabatan Kastam & Eksais Di Raja,Kuala Lumpur,Wilayah Persekutuan,50596
Jabatan KebajIkan Masyarakat,Kuala Lumpur,Wilayah Persekutuan,50564
Jabatan Keretapi Malaysia,Kuala Lumpur,Wilayah Persekutuan,50620
Jabatan Kerja Raya,Kuala Lumpur,Wilayah Persekutuan,50582
Jabatan Keselamatan dan Kesihatan Pekerja (OSHA),Kuala Lumpur,Wilayah Persekutuan,50534
Jabatan Ketua Hakim,Kuala Lumpur,Wilayah Persekutuan,50636
Jabatan Khidmat Negara,Kuala Lumpur,Wilayah Persekutuan,50634
Jabatan Lanskap Negara,Kuala Lumpur,Wilayah Persekutuan,50400
Jabatan Mineral dan Geosains Malaysia,Kuala Lumpur,Wilayah Persekutuan,50658
Jabatan Mufti Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50519
Jabatan Muzium dan Antikuiti,Kuala Lumpur,Wilayah Persekutuan,50566
Jabatan Peguam Negara,Kuala Lumpur,Wilayah Persekutuan,50512
Jabatan Pelajaran Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50604
Jabatan Pembangunan Koperasi,Kuala Lumpur,Wilayah Persekutuan,50608
Jabatan Pembangunan Wanita (HAWA),Kuala Lumpur,Wilayah Persekutuan,50515
Jabatan Pendaftar Pertubuhan,Kuala Lumpur,Wilayah Persekutuan,50552
Jabatan Pendaftaran Negara,Kuala Lumpur,Wilayah Persekutuan,50551
Jabatan Penerangan,Kuala Lumpur,Wilayah Persekutuan,50612
Jabatan Pengairan & Saliran,Kuala Lumpur,Wilayah Persekutuan,50626
Jabatan Pengangkutan Jalan Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50620
Jabatan Penilaian dan Perkhidmatan Harta Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50592
Jabatan Pentadbiran Awam Hospital Universiti Kebangsaan Malaysia,Kuala Lumpur,Wilayah Persekutuan,56000
Jabatan Penyiaran,Kuala Lumpur,Wilayah Persekutuan,50614
Jabatan Perancangan Bandar & Desa,Kuala Lumpur,Wilayah Persekutuan,50646
Jabatan Perangkaan Malaysia Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50514
Jabatan Perdagangan Dalam Negeri dan Hal Ehwal Pengguna,Kuala Lumpur,Wilayah Persekutuan,50623
Jabatan Perhubungan Perusahaan,Kuala Lumpur,Wilayah Persekutuan,50536
Jabatan Perhutanan Malaysia,Kuala Lumpur,Wilayah Persekutuan,50660
Jabatan Perkhidmatan Pembentungan,Kuala Lumpur,Wilayah Persekutuan,50490
Jabatan Perkhidmatan Pembentungan,Kuala Lumpur,Wilayah Persekutuan,50668
Jabatan Perlindungan Hidupan Liar & Taman Negara,Kuala Lumpur,Wilayah Persekutuan,50664
Jabatan Pertahanan Awam,Kuala Lumpur,Wilayah Persekutuan,50556
Jabatan Perumahan dan Kerajaan Tempatan,Kuala Lumpur,Wilayah Persekutuan,50782
Jabatan Perumahan Negara,Kuala Lumpur,Wilayah Persekutuan,50650
Jabatan Tanah & Galian,Kuala Lumpur,Wilayah Persekutuan,50576
Jabatan Tanah dan Galian Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50678
Jabatan Tenaga Kerja,Kuala Lumpur,Wilayah Persekutuan,50532
Jabatan Tenaga Rakyat,Kuala Lumpur,Wilayah Persekutuan,50540
Jabatan Ukur & Pemetaan,Kuala Lumpur,Wilayah Persekutuan,50578
Jalan A (Kampung Pandan),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Ayer Tenang,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan 1/108C (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 1/125A (Desa Petaling),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 1/155A Bukit Jalil,Kuala Lumpur,Wilayah Persekutuan,57000
Jalan 1/32 - 4/32,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 1/32A - 7/32A,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 1/48A,Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 1/50 - 4/50,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan 1/57A,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan 1/57B,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan 1/64A,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan 1/67B,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan 1/76 Off Jalan Kampung Pandan,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan 1/80C,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan 1/90 E - 4/90 E,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan 1/90 G - 5/90 G,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan 10/109C,Kuala Lumpur,Wilayah Persekutuan,58000
Jalan 10/23G,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan 11 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 11/32 - 21/32,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 12/108C (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 13 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 13/108C (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 14 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 14/108C (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 15 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 16 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 2 (Chan Sow Lin 2),Kuala Lumpur,Wilayah Persekutuan,55200
Jalan 2 (Kampung Pandan),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan 2/16B - 6/16B,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 2/16C - 12/16C,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 2/21D,Kuala Lumpur,Wilayah Persekutuan,53100
Jalan 2/27A Wangsa Maju,Kuala Lumpur,Wilayah Persekutuan,53300
Jalan 2/57B,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan 2/64,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan 2/64A,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan 3 (Chan Sow Lin 3),Kuala Lumpur,Wilayah Persekutuan,55200
Jalan 3/101C,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan 3/141,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 3/21B,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan 3/48A,Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 3/57B,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan 3/64A,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan 3/89B - 6/89B,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 3/92 B,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan 31A/31B - 31C/31B,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan 4 (Chan Sow Lin 4),Kuala Lumpur,Wilayah Persekutuan,55200
Jalan 4/27E,Kuala Lumpur,Wilayah Persekutuan,53300
Jalan 4/57B,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan 4/83A,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan 5 (Chan Sow Lin 5),Kuala Lumpur,Wilayah Persekutuan,55200
Jalan 5 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 5/65C,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan 6 (Chan Sow Lin 6),Kuala Lumpur,Wilayah Persekutuan,55200
Jalan 6 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 6/1 - 6/11,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan 6/108C (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan 65C,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan 7 (Sentul),Kuala Lumpur,Wilayah Persekutuan,51000
Jalan 8/23G,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan 9/23G,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Abang Haji Openg,Kuala Lumpur,Wilayah Persekutuan,60000
Jalan Abang Haji Openg (1 - 2),Kuala Lumpur,Wilayah Persekutuan,60000
Jalan Abdul Manan Nordin,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Abdul Rahman Idris,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Abdullah,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Abdullah Yasin,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Abraham,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Air Madu,Kuala Lumpur,Wilayah Persekutuan,53300
Jalan Akar,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Alam Sutera 19,Kuala Lumpur,Wilayah Persekutuan,57000
Jalan Alan Loke,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Alor,Kuala Lumpur,Wilayah Persekutuan,50200
Jalan Aman,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Aman Putra,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Ambong (1 - 4),Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Ambong Kanan (1 & 2),Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Ambong Kiri (1 & 2),Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Aminuddin Baki,Kuala Lumpur,Wilayah Persekutuan,60000
Jalan Ampang (Hingga Km 6.5),Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Ampang Hilir,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ampang Hilir (1 - 5),Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ampang Kiri,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ampang Tengah,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ampang Ulu,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ampang Ulu 3,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Ang Seng,Kuala Lumpur,Wilayah Persekutuan,50470
